id,123call,2appCat.social,123calltime,2appCat.entertainment,2sms,123appCat.travel,2appCat.travel,3appCat.entertainment,3circumplex.valence,3mood,1appCat.other,1appCat.office,2mood,3sms,2appCat.finance,2smstime,123appCat.communication,1appCat.unknown,123appCat.entertainment,weekday_0,target,123activity,2appCat.weather,1appCat.social,3calltime,3appCat.other,2circumplex.valence,1appCat.weather,123appCat.utilities,3smstime,1circumplex.valence,1appCat.utilities,1appCat.communication,1appCat.travel,123circumplex.valence,123appCat.other,123appCat.builtin,3screen,1mood,1appCat.builtin,3appCat.unknown,2appCat.game,3circumplex.arousal,weekday_4,2calltime,3appCat.social,123appCat.weather,123circumplex.arousal,2appCat.utilities,123mood,2activity,3appCat.finance,3call,2appCat.office,weekday_3,123appCat.finance,1screen,1calltime,weekday_1,1appCat.entertainment,3activity,3appCat.utilities,2appCat.builtin,1appCat.finance,1smstime,1activity,3appCat.office,2call,1call,2appCat.communication,weekday_5,2appCat.other,1sms,weekday_6,2circumplex.arousal,2appCat.unknown,2screen,123sms,1circumplex.arousal,123appCat.social,123appCat.game,3appCat.travel,1appCat.game,123appCat.office,123screen,3appCat.game,weekday_2,123appCat.unknown,3appCat.builtin,123smstime,3appCat.communication,3appCat.weather
AS14.01,10,,970.0,,0,,,,,,,,,0,,,,,,0,,,,,916.0,,,,,,,,,,,,,,,,,,,0,569.0,,,,,,,,2,,1,,,1042.0,0,,,,,,1173.0,,,1,7,,0,,2,0,,,,2,,,,,,,,,0,,,1173.0,,
AS14.01,10,,951.0,,2,,,,,,,,,0,,1173.0,,,,0,,,,,569.0,,,,,,,,,,,,,,,,,,,1,1042.0,,,,,,,,1,,0,,,822.0,0,,,,,,669.0,,,7,2,,0,,3,0,,,,5,,,,,,,,,0,,,871.0,,
AS14.01,9,,993.0,,3,,,,,,,,,2,,669.0,,,,0,,,,,1042.0,,,,,1173.0,,,,,,,,,,,,,,0,822.0,,,,,,,,7,,0,,,,0,,,,,,936.0,,,2,0,,1,,1,0,,,,6,,,,,,,,,0,,,882.0,,
AS14.01,4,,949.0,,1,,,,,,,,,3,,936.0,,,,0,,,,,822.0,,,,,669.0,,,,,,,,,,,,,,0,,,,,,,,,2,,0,,,1076.0,0,,,,,,1352.0,,,0,2,,0,,1,1,,,,5,,,,,,,,,0,,,859.0,,
AS14.01,2,,1076.0,,1,,,,,,,,,1,,1352.0,,,,1,,,,,,,,,,936.0,,,,,,,,,,,,,,0,1076.0,,,,,,,,0,,0,,,,0,,,,,,,,,2,0,,0,,0,0,,,,2,,,,,,,,,0,,,1144.0,,
AS14.01,2,,1076.0,,0,,,,,,,,,1,,,,,,0,,,,,1076.0,,,,,1352.0,,,,,,,,,,,,,,0,,,,,,,,,2,,0,,,,1,,,,,,,,,0,0,,0,,0,0,,,,1,,,,,,,,,0,,,1352.0,,
AS14.01,3,,711.0,,0,,,,,,,,,0,,,,,,0,6.25,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,,711.0,0,,,,,,,,,0,3,,0,,0,0,,,,0,,,,,,,,,1,,,,,
AS14.01,4,,806.0,,0,,,,,,,,,0,,,,,,0,6.333333333333333,,,,,,,,,,0.75,,,,0.75,,,,6.25,,,,,0,711.0,,,-0.25,,6.25,,,0,,1,,,1090.0,0,,,,,,1147.0,,,3,1,,0,,2,0,,,,2,-0.25,,,,,,,,0,,,1147.0,,
AS14.01,4,,806.0,,2,,,,,,,,6.25,0,,1147.0,,,,0,,,,,711.0,,0.75,,,,0.3333333333333333,,,,0.5714285714285714,,,,6.333333333333333,,,,,1,1090.0,,,-0.14285714285714285,,6.285714285714286,,,3,,0,,,,0,,,,,,,,,1,0,,0,,0,0,-0.25,,,2,0.0,,,,,,,,0,,,1147.0,,
AS14.01,5,,1231.0,,0,,,,0.75,6.25,,,6.333333333333333,2,,,,,,0,,,,,1090.0,,0.3333333333333333,,,1147.0,,,,,0.5714285714285714,,,,,,,,-0.25,0,,,,-0.14285714285714285,,6.285714285714286,,,1,,0,,,1267.0,0,,,,,,,,,0,4,,1,,0,0,0.0,,,2,,,,,,,,,0,,,1147.0,,
AS14.01,4,,1267.0,,0,,,,0.3333333333333333,6.333333333333333,,,,0,,,,,,0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.0,0,1267.0,,,0.0,,6.333333333333333,,,0,,0,,,,0,,,,,,543.0,,,4,0,,0,,1,1,,,,1,,,,,,,,,0,,,543.0,,
